Designator,Mid X,Mid Y,Rotation,Layer
R60,-1.8445,-38.0,90.0,top
R61,-0.3,-33.3,180.0,top
R62,-0.8285,-40.132,90.0,top
R63,-0.3205,-31.75,0.0,top
R66,53.369952,-17.340292,180.0,top
R7,4.4,-6.8,270.0,top
R8,4.4,-8.8,90.0,top
R9,24.888896,-34.800099,180.0,top
SW1,-0.6,-27.2,270.0,top
SW2,4.8,-27.2,90.0,top
U1,16.1895,-38.354,270.0,top
U2,29.4,-4.5,0.0,top
U30,3.6165,-38.354,270.0,top
U4,28.825896,-38.356099,270.0,top
U5,41.3355,-38.354,270.0,top
U6,53.848,-38.299,270.0,top
U7,21.9,-12.5,135.0,top
U8,26.924,-26.416,0.0,top
U9,47.4,-27.4,90.0,top
Y1,16.724,-18.812051,315.0,top
